[2020-01-15T08:52:35.150] [INFO] default - [::1 OPTIONS /admin/login 200 11ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:52:35.593] [INFO] default - [::1 POST /admin/login 200 437ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:53:30.092] [INFO] default - [::1 OPTIONS /admin/login 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:53:30.116] [INFO] default - [::1 POST /admin/login 200 20ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:55:07.926] [INFO] default - [::1 OPTIONS /admin/login 200 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:55:07.934] [INFO] default - [::1 POST /admin/login 200 4ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:55:12.581] [INFO] default - [::1 POST /admin/login 200 5ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:55:57.333] [INFO] default - [::1 GET /admin/about/read 200 10ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:56:09.936] [INFO] default - [::1 GET /admin/about/read 304 8ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:56:34.748] [INFO] default - [::1 GET /admin/Jurisdiction/adminread 200 2379ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-15T08:57:26.713] [INFO] default - [::1 GET /admin/Jurisdiction/adminread 200 1132ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
